,time,nodes,edges,best_w,iterations,T0,alpha
0,2.404759,512,2304,421.0,10,100,0.9
1,2.402011,512,2304,421.0,10,100,0.95
2,2.392488,512,2304,421.0,10,100,0.99
3,2.399506,512,2304,421.0,10,500,0.9
4,2.368189,512,2304,421.0,10,500,0.95
5,2.417486,512,2304,421.0,10,500,0.99
6,2.407912,512,2304,421.0,10,1000,0.9
7,2.43424,512,2304,421.0,10,1000,0.95
8,2.413647,512,2304,421.0,10,1000,0.99
9,3.496084,512,2304,421.0,100,100,0.9
10,3.50452,512,2304,421.0,100,100,0.95
11,3.480002,512,2304,421.0,100,100,0.99
12,3.401083,512,2304,421.0,100,500,0.9
13,3.517105,512,2304,421.0,100,500,0.95
14,3.460413,512,2304,421.0,100,500,0.99
15,3.466685,512,2304,421.0,100,1000,0.9
16,3.393948,512,2304,421.0,100,1000,0.95
17,3.586027,512,2304,421.0,100,1000,0.99
18,10.047554,512,2304,266.0,1000,100,0.9
19,10.349218,512,2304,269.0,1000,100,0.95
20,10.860173,512,2304,289.0,1000,100,0.99
21,9.672142,512,2304,263.0,1000,500,0.9
22,9.749235,512,2304,260.0,1000,500,0.95
23,10.589999,512,2304,278.0,1000,500,0.99
24,9.77518,512,2304,254.0,1000,1000,0.9
25,9.752798,512,2304,259.0,1000,1000,0.95
26,11.192808,512,2304,294.0,1000,1000,0.99
27,0.101064,64,192,62.0,10,100,0.9
28,0.098883,64,192,60.0,10,100,0.95
29,0.103124,64,192,60.0,10,100,0.99
30,0.097289,64,192,60.0,10,500,0.9
31,0.101337,64,192,59.0,10,500,0.95
32,0.101323,64,192,58.0,10,500,0.99
33,0.101475,64,192,56.0,10,1000,0.9
34,0.102692,64,192,58.0,10,1000,0.95
35,0.103585,64,192,60.0,10,1000,0.99
36,0.184879,64,192,41.0,100,100,0.9
37,0.266947,64,192,45.0,100,100,0.95
38,0.195279,64,192,44.0,100,100,0.99
39,0.205247,64,192,43.0,100,500,0.9
40,0.209732,64,192,45.0,100,500,0.95
41,0.206826,64,192,47.0,100,500,0.99
42,0.200737,64,192,45.0,100,1000,0.9
43,0.206465,64,192,46.0,100,1000,0.95
44,0.199064,64,192,45.0,100,1000,0.99
45,0.820939,64,192,39.0,1000,100,0.9
46,0.860877,64,192,41.0,1000,100,0.95
47,0.978283,64,192,39.0,1000,100,0.99
48,0.840467,64,192,39.0,1000,500,0.9
49,0.833857,64,192,39.0,1000,500,0.95
50,1.021865,64,192,39.0,1000,500,0.99
51,0.817668,64,192,39.0,1000,1000,0.9
52,0.876292,64,192,40.0,1000,1000,0.95
53,1.025348,64,192,40.0,1000,1000,0.99
54,0.64578,128,448,123.0,10,100,0.9
55,0.643368,128,448,121.0,10,100,0.95
56,0.616905,128,448,122.0,10,100,0.99
57,0.630955,128,448,124.0,10,500,0.9
58,0.641328,128,448,121.0,10,500,0.95
59,0.640039,128,448,122.0,10,500,0.99
60,0.639523,128,448,124.0,10,1000,0.9
61,0.637297,128,448,121.0,10,1000,0.95
62,0.63792,128,448,122.0,10,1000,0.99
63,0.865605,128,448,91.0,100,100,0.9
64,0.868875,128,448,101.0,100,100,0.95
65,0.878985,128,448,105.0,100,100,0.99
66,0.881519,128,448,94.0,100,500,0.9
67,0.875689,128,448,99.0,100,500,0.95
68,0.855877,128,448,96.0,100,500,0.99
69,0.868861,128,448,98.0,100,1000,0.9
70,0.96263,128,448,101.0,100,1000,0.95
71,0.862111,128,448,95.0,100,1000,0.99
72,2.140798,128,448,79.0,1000,100,0.9
73,2.262301,128,448,79.0,1000,100,0.95
74,2.469344,128,448,79.0,1000,100,0.99
75,2.18722,128,448,79.0,1000,500,0.9
76,2.302875,128,448,77.0,1000,500,0.95
77,2.43706,128,448,79.0,1000,500,0.99
78,2.15586,128,448,78.0,1000,1000,0.9
79,2.255993,128,448,78.0,1000,1000,0.95
80,2.667237,128,448,79.0,1000,1000,0.99
81,31.934298,512,2304,506.0,10,100,0.9
82,31.8395,512,2304,506.0,10,100,0.95
83,31.619028,512,2304,503.0,10,100,0.99
84,32.040399,512,2304,507.0,10,500,0.9
85,32.527021,512,2304,503.0,10,500,0.95
86,32.540661,512,2304,507.0,10,500,0.99
87,32.732585,512,2304,505.0,10,1000,0.9
88,33.236335,512,2304,504.0,10,1000,0.95
89,33.865699,512,2304,502.0,10,1000,0.99
90,34.515739,512,2304,453.0,100,100,0.9
91,34.594954,512,2304,465.0,100,100,0.95
92,34.323188,512,2304,464.0,100,100,0.99
93,35.07837,512,2304,474.0,100,500,0.9
94,34.556828,512,2304,467.0,100,500,0.95
95,33.959217,512,2304,465.0,100,500,0.99
96,35.362033,512,2304,472.0,100,1000,0.9
97,34.264959,512,2304,475.0,100,1000,0.95
98,34.399387,512,2304,459.0,100,1000,0.99
99,43.4319,512,2304,311.0,1000,100,0.9
100,43.607631,512,2304,318.0,1000,100,0.95
101,44.111459,512,2304,320.0,1000,100,0.99
102,42.830383,512,2304,315.0,1000,500,0.9
103,43.637373,512,2304,317.0,1000,500,0.95
104,44.8181,512,2304,329.0,1000,500,0.99
105,42.735184,512,2304,317.0,1000,1000,0.9
106,43.274035,512,2304,322.0,1000,1000,0.95
107,45.597182,512,2304,331.0,1000,1000,0.99
108,0.053717,125,750,71.0,10,100,0.9
109,0.052781,125,750,71.0,10,100,0.95
110,0.054517,125,750,71.0,10,100,0.99
111,0.055623,125,750,71.0,10,500,0.9
112,0.053381,125,750,71.0,10,500,0.95
113,0.053426,125,750,71.0,10,500,0.99
114,0.054559,125,750,71.0,10,1000,0.9
115,0.053824,125,750,71.0,10,1000,0.95
116,0.055006,125,750,71.0,10,1000,0.99
117,0.216546,125,750,65.0,100,100,0.9
118,0.22995,125,750,71.0,100,100,0.95
119,0.233339,125,750,71.0,100,100,0.99
120,0.242474,125,750,71.0,100,500,0.9
121,0.22577,125,750,71.0,100,500,0.95
122,0.233505,125,750,71.0,100,500,0.99
123,0.217369,125,750,71.0,100,1000,0.9
124,0.254908,125,750,71.0,100,1000,0.95
125,0.224553,125,750,71.0,100,1000,0.99
126,0.996614,125,750,38.0,1000,100,0.9
127,0.994179,125,750,37.0,1000,100,0.95
128,1.446326,125,750,41.0,1000,100,0.99
129,0.997502,125,750,37.0,1000,500,0.9
130,1.081881,125,750,39.0,1000,500,0.95
131,1.589404,125,750,48.0,1000,500,0.99
132,1.141904,125,750,39.0,1000,1000,0.9
133,1.063368,125,750,38.0,1000,1000,0.95
134,1.745369,125,750,48.0,1000,1000,0.99
