,time,nodes,edges,best_w,iterations,tabu size
0,1.117113,64,192,63.0,10,20
1,0.957691,64,192,63.0,10,40
2,0.926275,64,192,63.0,10,60
3,1.095294,64,192,63.0,10,80
4,3.850267,64,192,63.0,100,20
5,4.272336,64,192,63.0,100,40
6,3.768057,64,192,63.0,100,60
7,3.037487,64,192,63.0,100,80
8,29.879463,64,192,63.0,1000,20
9,31.281241,64,192,63.0,1000,40
10,3.684333,64,192,63.0,1000,60
11,3.181486,64,192,63.0,1000,80
12,0.90221,64,192,53.0,10,20
13,1.046417,64,192,53.0,10,40
14,0.910196,64,192,53.0,10,60
15,0.908933,64,192,53.0,10,80
16,3.900082,64,192,41.0,100,20
17,3.857172,64,192,39.0,100,40
18,3.152896,64,192,40.0,100,60
19,3.071091,64,192,40.0,100,80
20,31.300942,64,192,41.0,1000,20
21,30.212067,64,192,39.0,1000,40
22,3.148497,64,192,40.0,1000,60
23,2.922092,64,192,40.0,1000,80
24,4.613308,128,448,116.0,10,20
25,4.689513,128,448,116.0,10,40
26,4.665103,128,448,116.0,10,60
27,4.520638,128,448,116.0,10,80
28,21.033408,128,448,91.0,100,20
29,20.83928,128,448,91.0,100,40
30,21.104351,128,448,91.0,100,60
31,20.125127,128,448,81.0,100,80
32,153.546806,128,448,91.0,1000,20
33,155.877743,128,448,91.0,1000,40
34,157.143087,128,448,91.0,1000,60
35,120.79986,128,448,77.0,1000,80
36,1.037208,64,192,54.0,10,20
37,1.173699,64,192,54.0,10,40
38,1.042243,64,192,54.0,10,60
39,1.169419,64,192,54.0,10,80
40,4.209285,64,192,54.0,100,20
41,4.215703,64,192,54.0,100,40
42,4.318541,64,192,54.0,100,60
43,4.45389,64,192,54.0,100,80
44,29.557516,64,192,54.0,1000,20
45,26.763539,64,192,54.0,1000,40
46,28.031951,64,192,54.0,1000,60
47,30.439117,64,192,54.0,1000,80
48,3.584473,125,750,71.0,10,20
49,3.299996,125,750,71.0,10,40
50,3.238114,125,750,71.0,10,60
51,3.498085,125,750,71.0,10,80
52,13.531802,125,750,36.0,100,20
53,13.292581,125,750,36.0,100,40
54,13.248061,125,750,36.0,100,60
55,13.391174,125,750,36.0,100,80
56,72.903549,125,750,36.0,1000,20
57,71.080052,125,750,36.0,1000,40
58,72.214241,125,750,36.0,1000,60
59,78.19817,125,750,36.0,1000,80
60,22.914624,256,1024,245.0,10,20
61,22.603647,256,1024,245.0,10,40
62,22.649969,256,1024,245.0,10,60
63,22.75843,256,1024,245.0,10,80
64,114.644563,256,1024,165.0,100,20
65,113.414872,256,1024,165.0,100,40
66,112.998867,256,1024,165.0,100,60
67,113.095399,256,1024,165.0,100,80
68,565.557462,256,1024,165.0,1000,20
69,516.96295,256,1024,155.0,1000,40
70,522.709998,256,1024,155.0,1000,60
71,518.412123,256,1024,155.0,1000,80
72,17.1779,243,1215,167.0,10,20
73,17.18075,243,1215,167.0,10,40
74,17.278114,243,1215,167.0,10,60
75,17.107807,243,1215,167.0,10,80
76,104.688238,243,1215,94.0,100,20
77,107.358466,243,1215,94.0,100,40
78,105.408178,243,1215,94.0,100,60
79,102.352185,243,1215,94.0,100,80
80,374.667607,243,1215,83.0,1000,20
81,367.730995,243,1215,81.0,1000,40
82,367.642045,243,1215,80.0,1000,60
83,377.655712,243,1215,80.0,1000,80
84,5.06583,128,448,127.0,10,20
85,5.073955,128,448,127.0,10,40
86,5.006573,128,448,127.0,10,60
87,4.820702,128,448,127.0,10,80
88,20.297831,128,448,127.0,100,20
89,20.597645,128,448,127.0,100,40
90,20.597447,128,448,127.0,100,60
91,21.544029,128,448,127.0,100,80
92,124.863189,128,448,127.0,1000,20
93,125.083754,128,448,127.0,1000,40
94,130.581395,128,448,127.0,1000,60
95,135.718395,128,448,127.0,1000,80
96,4.450998,125,750,83.0,10,20
97,4.454701,125,750,83.0,10,40
98,4.415421,125,750,83.0,10,60
99,4.405193,125,750,83.0,10,80
100,18.947702,125,750,83.0,100,20
101,18.289147,125,750,83.0,100,40
102,18.259837,125,750,83.0,100,60
103,18.256334,125,750,83.0,100,80
104,79.6761,125,750,83.0,1000,20
105,82.255113,125,750,83.0,1000,40
106,79.585581,125,750,83.0,1000,60
107,78.499626,125,750,83.0,1000,80
108,0.982616,64,192,47.0,10,20
109,0.818719,64,192,47.0,10,40
110,0.835151,64,192,47.0,10,60
111,1.00486,64,192,47.0,10,80
112,3.44488,64,192,32.0,100,20
113,3.600737,64,192,32.0,100,40
114,3.823709,64,192,32.0,100,60
115,4.622704,64,192,34.0,100,80
116,24.128283,64,192,32.0,1000,20
117,26.006763,64,192,32.0,1000,40
118,29.736156,64,192,32.0,1000,60
119,37.445388,64,192,32.0,1000,80
