,time,nodes,edges,best_w,iterations,k
0,0.842196,64,192,63.0,10,2
1,1.181608,64,192,63.0,10,3
2,1.800993,64,192,63.0,10,5
3,2.47165,64,192,63.0,10,7
4,6.953229,64,192,63.0,100,2
5,10.313225,64,192,63.0,100,3
6,16.753926,64,192,63.0,100,5
7,23.171927,64,192,63.0,100,7
8,68.356728,64,192,63.0,1000,2
9,101.715851,64,192,63.0,1000,3
10,167.316876,64,192,63.0,1000,5
11,230.227193,64,192,63.0,1000,7
12,0.15212,64,192,39.0,10,2
13,0.169271,64,192,39.0,10,3
14,0.181627,64,192,39.0,10,5
15,0.22175,64,192,39.0,10,7
16,0.415055,64,192,39.0,100,2
17,0.510694,64,192,39.0,100,3
18,0.691369,64,192,39.0,100,5
19,0.822819,64,192,39.0,100,7
20,3.067303,64,192,39.0,1000,2
21,4.135508,64,192,39.0,1000,3
22,5.509134,64,192,39.0,1000,5
23,6.504264,64,192,39.0,1000,7
24,0.881026,128,448,87.0,10,2
25,1.003884,128,448,83.0,10,3
26,1.055478,128,448,77.0,10,5
27,0.912809,128,448,87.0,10,7
28,1.702172,128,448,77.0,100,2
29,2.033135,128,448,77.0,100,3
30,2.204938,128,448,77.0,100,5
31,2.559215,128,448,77.0,100,7
32,9.403743,128,448,77.0,1000,2
33,10.905934,128,448,77.0,1000,3
34,13.444087,128,448,77.0,1000,5
35,16.222257,128,448,77.0,1000,7
36,0.655221,64,192,54.0,10,2
37,1.039442,64,192,54.0,10,3
38,1.545386,64,192,54.0,10,5
39,2.134434,64,192,54.0,10,7
40,6.394933,64,192,54.0,100,2
41,9.480393,64,192,54.0,100,3
42,15.687547,64,192,54.0,100,5
43,21.798021,64,192,54.0,100,7
44,63.60586,64,192,54.0,1000,2
45,95.007908,64,192,54.0,1000,3
46,156.821174,64,192,54.0,1000,5
47,218.358141,64,192,54.0,1000,7
48,0.172189,125,750,36.0,10,2
49,0.175884,125,750,36.0,10,3
50,0.226655,125,750,36.0,10,5
51,0.222384,125,750,36.0,10,7
52,0.531507,125,750,36.0,100,2
53,0.706851,125,750,36.0,100,3
54,0.90371,125,750,36.0,100,5
55,1.202569,125,750,36.0,100,7
56,4.667271,125,750,36.0,1000,2
57,6.60037,125,750,36.0,1000,3
58,9.677667,125,750,36.0,1000,5
59,11.086034,125,750,36.0,1000,7
60,6.308379,256,1024,157.0,10,2
61,6.390572,256,1024,159.0,10,3
62,6.299491,256,1024,160.0,10,5
63,6.183169,256,1024,154.0,10,7
64,8.368674,256,1024,154.0,100,2
65,9.046251,256,1024,155.0,100,3
66,9.995765,256,1024,155.0,100,5
67,10.605603,256,1024,151.0,100,7
68,31.844372,256,1024,152.0,1000,2
69,37.643387,256,1024,154.0,1000,3
70,40.914194,256,1024,152.0,1000,5
71,44.505906,256,1024,149.0,1000,7
72,1.256849,243,1215,82.0,10,2
73,1.296423,243,1215,83.0,10,3
74,1.380653,243,1215,82.0,10,5
75,1.64971,243,1215,80.0,10,7
76,2.692673,243,1215,79.0,100,2
77,3.776987,243,1215,79.0,100,3
78,3.112218,243,1215,76.0,100,5
79,3.853667,243,1215,79.0,100,7
80,13.337404,243,1215,76.0,1000,2
81,15.907112,243,1215,75.0,1000,3
82,20.232179,243,1215,78.0,1000,5
83,17.567408,243,1215,75.0,1000,7
84,3.764962,128,448,127.0,10,2
85,5.251332,128,448,127.0,10,3
86,7.980706,128,448,127.0,10,5
87,11.278005,128,448,127.0,10,7
88,30.587493,128,448,127.0,100,2
89,44.779976,128,448,127.0,100,3
90,74.058871,128,448,127.0,100,5
91,104.22231,128,448,127.0,100,7
92,295.105766,128,448,127.0,1000,2
93,446.427043,128,448,127.0,1000,3
94,745.609813,128,448,127.0,1000,5
95,1045.127333,128,448,127.0,1000,7
96,1.923665,125,750,83.0,10,2
97,2.864854,125,750,83.0,10,3
98,4.74738,125,750,83.0,10,5
99,6.557979,125,750,83.0,10,7
100,18.960608,125,750,83.0,100,2
101,28.709706,125,750,83.0,100,3
102,46.863905,125,750,83.0,100,5
103,65.679013,125,750,83.0,100,7
104,188.953074,125,750,83.0,1000,2
105,282.353096,125,750,83.0,1000,3
106,467.42728,125,750,83.0,1000,5
107,677.203678,125,750,83.0,1000,7
108,0.087381,64,192,32.0,10,2
109,0.108357,64,192,32.0,10,3
110,0.121928,64,192,32.0,10,5
111,0.133658,64,192,32.0,10,7
112,0.277942,64,192,32.0,100,2
113,0.364079,64,192,32.0,100,3
114,0.33177,64,192,32.0,100,5
115,0.483549,64,192,32.0,100,7
116,1.562986,64,192,32.0,1000,2
117,1.998058,64,192,32.0,1000,3
118,2.725163,64,192,32.0,1000,5
119,3.363582,64,192,32.0,1000,7
